ward	name
1 -	AHAMAD LEBBE AMER
2 -	MUHAMMATHU LEWAI MUHAMMATHU ISSATH
3 -	ABDHUL KAREEM PATHIMA ASRA
4 -	RABEEK PATHIMA ABRIN
5 -	MUHAMMATHU HAANEM MUHAMMATHU ZARISH
6 -	MUHAMMATHU PARITHU PASLUL HAK
7 -	THAVUTHU LEVAI MUHAMMATHU SAABI
8 -	MUHAMMATHU AKBAR MUHAMMATHU ISSATH
9 -	LEVAITHTHAMBI MUHAMMATHU RISKAN
10 -	MUHAMMATHU USANAR MUHAMMATHU PAASIL
11 -	MUHAMMATHU LEVAI SITHIK
12 -	ABDHUL SALAM HARJIS
13 -	MUSTHABA LEVAI MUHAMMATHU PAARUK
14 -	MUHMMATHU LEVAI MUHAMMATHU ZAHIR HUSAIN
